epoch,loss,lr,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,1.4896680116653442,1e-04,0.39213395,0.21823938,0.46716097,1.2806286811828613,0.08691588789224625,0.01110112015157938,0.10536185652017593
1,1.4810823202133179,1e-04,0.39250854,0.21155472,0.45995077,1.278694987297058,0.0867648646235466,0.011067346669733524,0.10520146042108536
2,1.4726060628890991,1e-04,0.3928317,0.20497839,0.4527454,1.2767627239227295,0.08661510795354843,0.011033923365175724,0.1050424799323082
3,1.4643034934997559,1e-04,0.39309666,0.19857475,0.44561726,1.2748310565948486,0.08646617084741592,0.01100075338035822,0.10488447546958923
4,1.456241488456726,1e-04,0.3932964,0.19241118,0.438647,1.2728996276855469,0.08631774038076401,0.010967765934765339,0.10472710430622101
5,1.448487639427185,1e-04,0.39342472,0.18655576,0.431921,1.27096688747406,0.08616969734430313,0.010934936814010143,0.10457024723291397
6,1.4411062002182007,1e-04,0.3934768,0.18107425,0.4255282,1.269032597541809,0.08602192252874374,0.010902244597673416,0.10441381484270096
7,1.4341576099395752,1e-04,0.39344963,0.17602721,0.41955596,1.2670948505401611,0.08587435632944107,0.010869675315916538,0.104257732629776
8,1.4276916980743408,1e-04,0.39334255,0.1714663,0.4140849,1.265153169631958,0.08572685718536377,0.010837200097739697,0.10410187393426895
9,1.4217466115951538,1e-04,0.39315772,0.16743062,0.40918288,1.2632052898406982,0.0855792984366417,0.010804801248013973,0.10394614934921265
10,1.416344165802002,1e-04,0.3929003,0.16394363,0.40489954,1.261250376701355,0.0854315385222435,0.010772445239126682,0.10379038751125336
11,1.4114891290664673,1e-04,0.39257833,0.16101114,0.40126193,1.2592873573303223,0.08528337627649307,0.010740105994045734,0.10363448411226273
12,1.407167673110962,1e-04,0.39220244,0.15862048,0.39827186,1.2573142051696777,0.08513462543487549,0.01070774719119072,0.10347824543714523
13,1.4033477306365967,1e-04,0.3917851,0.15674125,0.3959056,1.2553317546844482,0.08498506993055344,0.010675322264432907,0.10332144796848297
14,1.3999841213226318,1e-04,0.39133927,0.1553276,0.39411622,1.253338098526001,0.08483442664146423,0.010642790235579014,0.10316389799118042
15,1.397017002105713,1e-04,0.39087802,0.1543216,0.39283788,1.2513327598571777,0.08468242734670639,0.01061010081321001,0.10300534218549728
16,1.3943803310394287,1e-04,0.39041328,0.1536577,0.39199197,1.2493164539337158,0.0845288410782814,0.010577215813100338,0.10284559428691864
17,1.3920063972473145,1e-04,0.38995484,0.15326716,0.3914935,1.2472891807556152,0.08437342196702957,0.010544090531766415,0.10268442332744598
18,1.3898274898529053,1e-04,0.38951054,0.15308253,0.39125764,1.2452508211135864,0.08421602100133896,0.010510698892176151,0.10252170264720917
19,1.3877811431884766,1e-04,0.38908577,0.15304105,0.39120463,1.2432032823562622,0.08405641466379166,0.010477009229362011,0.10235726088285446
20,1.3858134746551514,1e-04,0.3886836,0.15308721,0.3912636,1.2411466836929321,0.08389449119567871,0.0104430066421628,0.1021910309791565
21,1.3838778734207153,1e-04,0.38830546,0.1531743,0.3913749,1.2390825748443604,0.08373022079467773,0.01040868740528822,0.10202297568321228
22,1.3819386959075928,1e-04,0.38795123,0.15326487,0.39149058,1.2370119094848633,0.08356354385614395,0.010374050587415695,0.10185308009386063
